Country,Year,Crop,Yield,Yield_Unit,Rainfall,Pesticides,Avg_Temperature,Yield_Normalized,Rainfall_Normalized,Pesticides_Normalized,Temperature_Normalized,Country_Index,Crop_Index,Yield_Category,Rainfall_Category,Temperature_Category,ID,Processing_Date,Processing_Version,Data_Quality_Score
australia,2000,Maize,49360.0,hg/ha,534.0,33475.0,17.57,0.14189723888864908,0.18219539796303283,0.01853541569292172,0.5836760518823157,8.0,0.0,Medium,Low,Temperate,0,2025-12-01,v1.0,100
australia,2005,"Rice, paddy",66168.0,hg/ha,534.0,34310.0,20.71,0.19026488827498886,0.18219539796303283,0.01899776343295157,0.683011705156596,8.0,1.0,Medium,Low,Temperate,1,2025-12-01,v1.0,100
austria,2007,Soybeans,26211.0,hg/ha,1110.0,3526.6,10.03,0.07528237003784118,0.3994718973972086,0.001952691073149304,0.3451439417905726,88.0,5.0,Low,High,Cold,2,2025-12-01,v1.0,100
azerbaijan,2005,Maize,47703.0,hg/ha,447.0,148.68,12.88,0.13712896217320614,0.14937759336099585,8.230343482399635E-5,0.43530528313824746,77.0,0.0,Medium,Low,Cold,3,2025-12-01,v1.0,100
azerbaijan,2005,"Rice, paddy",35903.0,hg/ha,447.0,148.68,12.88,0.10317261622134934,0.14937759336099585,8.230343482399635E-5,0.43530528313824746,77.0,1.0,Medium,Low,Cold,4,2025-12-01,v1.0,100
azerbaijan,2012,Wheat,26144.0,hg/ha,447.0,516.35,13.0,0.07508956705658912,0.14937759336099585,2.858859421015713E-4,0.43910155014236,77.0,2.0,Low,Low,Cold,5,2025-12-01,v1.0,100
bahamas,2002,Sweet potatoes,34792.0,hg/ha,1292.0,384.23,25.79,0.09997553992028892,0.4681252357600905,2.1272979430187806E-4,0.8437203416640303,100.0,6.0,Medium,High,Hot,6,2025-12-01,v1.0,100
bangladesh,2007,Sweet potatoes,90479.0,hg/ha,2666.0,10962.31,25.95,0.2602235939051237,0.986420218785364,0.006069917077960511,0.8487820310028472,62.0,6.0,High,High,Hot,7,2025-12-01,v1.0,100
belgium,2005,Wheat,82733.0,hg/ha,847.0,9776.0,11.16,0.23793326714723528,0.3002640513013957,0.005413045524098461,0.3808921227459665,114.0,2.0,High,Medium,Cold,8,2025-12-01,v1.0,100
bolivia,2001,Cassava,96943.0,hg/ha,1146.0,7069.2,9.0,0.27882476511129334,0.4130516786118446,0.003914263652586128,0.3125593166719393,32.0,7.0,High,High,Cold,9,2025-12-01,v1.0,100
bolivia,2009,Cassava,86426.0,hg/ha,1146.0,17921.81,9.29,0.24856045236759183,0.4130516786118446,0.009923460906388947,0.32173362859854476,32.0,7.0,High,High,Cold,10,2025-12-01,v1.0,100
bolivia,1999,"Rice, paddy",14169.0,hg/ha,1146.0,5739.29,8.67,0.04062963122832765,0.4130516786118446,0.003177879361636309,0.3021195824106296,32.0,1.0,Low,High,Cold,11,2025-12-01,v1.0,100
brazil,2007,Cassava,140099.0,hg/ha,1761.0,304031.0,27.92,0.4030129062891181,0.6450396076952094,0.168344942820486,0.9111040809870294,3.0,7.0,High,High,Hot,12,2025-12-01,v1.0,100
brazil,2008,Cassava,141371.0,hg/ha,1761.0,312637.0,17.88,0.40667328527647084,0.6450396076952094,0.17311016994706913,0.5934830749762733,3.0,7.0,High,High,Temperate,13,2025-12-01,v1.0,100
brazil,1991,Potatoes,140264.0,hg/ha,1761.0,58349.44,25.06,0.4034877196011568,0.6450396076952094,0.03230863858933862,0.8206263840556786,3.0,3.0,High,High,Hot,14,2025-12-01,v1.0,100
brazil,1992,Potatoes,140432.0,hg/ha,1761.0,67003.89,24.24,0.4039711658825053,0.6450396076952094,0.037100692959040824,0.7946852261942423,3.0,3.0,High,High,Hot,15,2025-12-01,v1.0,100
brazil,1998,Potatoes,156439.0,hg/ha,1761.0,118930.56,20.71,0.45003381246313,0.6450396076952094,0.06585300256595798,0.683011705156596,3.0,3.0,High,High,Temperate,16,2025-12-01,v1.0,100
brazil,1997,"Rice, paddy",27310.0,hg/ha,1761.0,110276.11,20.77,0.07844491446166242,0.6450396076952094,0.06106094819625578,0.6849098386586523,3.0,1.0,Low,High,Temperate,17,2025-12-01,v1.0,100
brazil,2005,"Rice, paddy",33691.0,hg/ha,1761.0,232232.0,25.7,0.09680724018359448,0.6450396076952094,0.12858912798647015,0.8408731414109458,3.0,1.0,Medium,High,Hot,18,2025-12-01,v1.0,100
brazil,2000,Sorghum,15013.0,hg/ha,1761.0,140423.0,26.82,0.04305837326081639,0.6450396076952094,0.0777535786877869,0.8763049667826637,3.0,4.0,Low,High,Hot,19,2025-12-01,v1.0,100
brazil,1991,Soybeans,15533.0,hg/ha,1761.0,58349.44,27.21,0.04455475460784737,0.6450396076952094,0.03230863858933862,0.8886428345460298,3.0,5.0,Low,High,Hot,20,2025-12-01,v1.0,100
brazil,2012,Soybeans,26366.0,hg/ha,1761.0,346583.0,22.16,0.07572840678551387,0.6450396076952094,0.1919064051363545,0.7288832647896235,3.0,5.0,Low,High,Hot,21,2025-12-01,v1.0,100
bulgaria,2010,Maize,62512.0,hg/ha,608.0,1588.5,9.65,0.17974417634278644,0.2101093926820068,8.79545977398582E-4,0.3331224296108827,63.0,0.0,Medium,Low,Cold,22,2025-12-01,v1.0,100
bulgaria,2013,Soybeans,17976.0,hg/ha,608.0,1197.0,11.26,0.05158486928245637,0.2101093926820068,6.627685639594367E-4,0.384055678582727,63.0,5.0,Low,Low,Cold,23,2025-12-01,v1.0,100
burkina faso,2008,"Rice, paddy",24355.0,hg/ha,748.0,190.92,28.4,0.06994143969151523,0.2629196529611467,1.0569213966095548E-4,0.9262891490034798,40.0,1.0,Low,Medium,Hot,24,2025-12-01,v1.0,100
burundi,2012,Cassava,42092.0,hg/ha,1274.0,98.59,21.44,0.12098243190745457,0.4613353451527725,5.4568107520888314E-5,0.7061056627649478,33.0,7.0,Medium,High,Temperate,25,2025-12-01,v1.0,100
canada,1990,Maize,68602.0,hg/ha,537.0,29568.0,7.41,0.19726910404166847,0.18332704639758582,0.016372071237476662,0.26225877886744703,13.0,0.0,Medium,Low,Cold,26,2025-12-01,v1.0,100
canada,2007,Potatoes,126498.0,hg/ha,537.0,45140.03,7.42,0.36387390109494827,0.18332704639758582,0.024994457917928193,0.26257513445112307,13.0,3.0,High,Low,Cold,27,2025-12-01,v1.0,100
central african republic,2008,Potatoes,13425.0,hg/ha,1342.0,22.87,25.76,0.03848865483949871,0.48698604300264053,1.2641196293271237E-5,0.8427712749130023,52.0,3.0,Low,High,Hot,28,2025-12-01,v1.0,100
chile,1990,Wheat,29481.0,hg/ha,1522.0,15373.0,12.88,0.08469230658551676,0.5548849490758204,0.008512159656969207,0.43530528313824746,28.0,2.0,Medium,High,Cold,29,2025-12-01,v1.0,100
china,1999,Cassava,159747.0,hg/ha,645.0,1321620.0,6.03,0.45955309995539634,0.22406639004149378,0.7317940139932229,0.21860170832015186,0.0,7.0,High,Low,Cold,30,2025-12-01,v1.0,100
china,2002,Cassava,159163.0,hg/ha,645.0,1312285.0,17.79,0.45787254859642307,0.22406639004149378,0.7266251323726497,0.5906358747231888,0.0,7.0,High,Low,Temperate,31,2025-12-01,v1.0,100
china,2007,Cassava,162394.0,hg/ha,645.0,1623000.0,17.19,0.4671702565430713,0.22406639004149378,0.8986710941012424,0.5716545397026258,0.0,7.0,High,Low,Temperate,32,2025-12-01,v1.0,100
china,1993,Maize,49641.0,hg/ha,645.0,844800.0,11.87,0.14270586034733312,0.22406639004149378,0.4677740745907879,0.4033533691869662,0.0,0.0,Medium,Low,Cold,33,2025-12-01,v1.0,100
china,1998,Maize,52686.0,hg/ha,645.0,1231699.0,22.31,0.15146832419677414,0.22406639004149378,0.6820038689258886,0.7336285985447643,0.0,0.0,Medium,Low,Hot,34,2025-12-01,v1.0,100
